name,category,neighborhood,full_address,rating,review_count,phone,website,links_on_site,google_maps_url,scraped_at
HOT COFFEE AND FOOD RESTAURANT,"Coffee shop, Food court",Addis Ababa,"Cameroon St, Addis Ababa, Ethiopia",4.8,28.0,+251 91 203 0662,https://menu.anbessait.com/hotcoffee,,,2026-05-10T06:28:07.618223+00:00
Etete Coffee - Bole DH Geda /Classic Outlet/ (እቴቴ ቡና),Coffee shop,Addis Ababa,"XQRP+3M6, Addis Ababa, Ethiopia",4.5,162.0,+251 94 333 3435,,,,2026-05-10T06:28:07.618223+00:00
Enitewawek,Cafe,Ground Floor,"Bole Mega / 50m behind Makush Gallery TM5 Apartment Building, Ground Floor, Ethiopia",4.6,90.0,+251 96 381 2959,,,,2026-05-10T06:28:07.618223+00:00
Yoda Coffee,"Cafe, Coffee shop, Coffee wholesaler, Restaurant",Addis Ababa,"XQRP+32R, Airport Rd, Addis Ababa, Ethiopia",4.2,38.0,+251 90 922 3333,,,,2026-05-10T06:28:07.618223+00:00
Tomoca Coffee,Coffee shop,Addis Ababa,"XQVR+WC9, Addis Ababa, Ethiopia",4.6,94.0,+251 90 115 2222,,,,2026-05-10T06:28:07.618223+00:00
Chaka Coffee Bole international airport,Coffee shop,Addis Ababa,"XQPV+2RR, Addis Ababa, Ethiopia",4.1,11.0,,http://chakacoffee.com/,https://beudelivery.com/ | https://chakacoffee.com | https://chakacoffee.com/ | https://chakacoffee.com/company-information/ | https://chakacoffee.com/contact-us/ | https://chakacoffee.com/events/ | https://chakacoffee.com/locations/ | https://chakacoffee.com/our-story/ | https://chakacoffee.com/social-responsibility/ | https://chakacoffee.com/what-we-do/ | https://chakacoffee.com/wp-content/uploads/2024/03/gal-1.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-2.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-3.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-4.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-5.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-6.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-7.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-8.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-1.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-2.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-3.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-4.jpg | https://deliveraddis.com/restaurants/chaka-buna-bole | https://feres.co/ | https://www.facebook.com/ychakacoffee | https://www.instagram.com/chaka_coffee?igsh=bjNwbjdyOXFidDdu&utm_source=qr | https://www.ridefood.app/en/addis-ababa/vendor/53 | https://www.tiktok.com/@chakacoffee?_t=8mOSuAdXqXF&_r=1 | https://www.youtube.com/@ChakaCoffee | https://www.zmalldelivery.com/,,2026-05-10T06:28:07.618223+00:00
BAMA coffee and breakfast,Coffee shop,Bole 14/15,"Bole 14/15, Ethiopia",4.7,19.0,,,,,2026-05-10T06:28:07.618223+00:00
Grove cafe,"Restaurant, English restaurant",Addis Ababa,"Bole, Atlas, Addis Ababa, Ethiopia",4.5,38.0,+251 98 931 2460,,,,2026-05-10T06:28:07.618223+00:00
Galani Coffee,Coffee shop,Addis Ababa,"Jacros - Salite Mehret Rd, Addis Ababa, Ethiopia",4.3,430.0,+251 92 923 6043,http://galanicoffee.com/,http://wix.com/?utm_campaign=vir_created_with | https://deliveraddis.com/restaurants/galani | https://maps.app.goo.gl/FKWHsUvSHqhD5qLQ9 | https://maps.app.goo.gl/WyamCeMJSnXJUTe58 | https://maps.app.goo.gl/esQvfEMaeT5G1BSMA | https://maps.app.goo.gl/rCp7mk3746Kn1A597 | https://maps.app.goo.gl/yyt5RHYKJL3dMgVz9 | https://www.facebook.com/GalaniCoffee/ | https://www.galanicoffee.com | https://www.galanicoffee.com/about-us | https://www.galanicoffee.com/cafe-menus | https://www.galanicoffee.com/contact-us | https://www.galanicoffee.com/events | https://www.galanicoffee.com/learning | https://www.instagram.com/galanicoffee/,,2026-05-10T06:28:07.618223+00:00
"Robera Coffee | Addis Ababa, Ethiopia | Bole Medanialem","Coffee shop, Cafe, Coffee roastery, Coffee wholesaler",Addis Ababa 1000,"Cameroon St, Addis Ababa 1000, Ethiopia",4.4,10.0,+251 91 152 5750,https://roberacoffee.com/,http://ethio-technology.com/ | https://roberacoffe.com/tuition-fee/ | https://roberacoffee.com/ | https://roberacoffee.com/about-me/ | https://roberacoffee.com/about-us/ | https://roberacoffee.com/blog/left-sidebar/ | https://roberacoffee.com/cart/ | https://roberacoffee.com/coffee-estate/ | https://roberacoffee.com/contact-us/ | https://roberacoffee.com/elements/institute/ | https://roberacoffee.com/elements/what-we-offer/ | https://roberacoffee.com/instructor/ | https://roberacoffee.com/locations/ | https://roberacoffee.com/portfolio-gallery/ | https://roberacoffee.com/shop-2/ | https://roberacoffeeplc.com/ | https://twitter.com/ | https://twitter.com/qodeinteractive/ | https://www.facebook.com/qodeinteractive/ | https://www.facebook.com/roberacoffee/ | https://www.instagram.com/roberacoffee/,,2026-05-10T06:28:07.618223+00:00
Lomi Cafe & Restaurant,Restaurant,Addis Ababa,"Addis Ababa, Ethiopia",4.7,494.0,+251 96 055 5777,,,,2026-05-10T06:28:11.683536+00:00
Homeland Coffee and Smoothie,Coffee shop,Addis Ababa,"XQPP+WHP, Addis Ababa, Ethiopia",4.8,42.0,+251 97 593 3333,,,,2026-05-10T06:28:11.683536+00:00
Darik Coffee - Bole Ethiopia,Coffee shop,Addis Ababa,"XQXM+RM2, Namibia St, Addis Ababa, Ethiopia",4.4,16.0,+251 90 934 2004,http://www.darikcoffee.com/,https://t.me/+251912172484,,2026-05-10T06:28:11.683536+00:00
Daily dose,Coffee shop,Addis Ababa,"2R6X+2JH, summit fiyel bet, infront of dibora school, Addis Ababa, Ethiopia",5.0,10.0,+251 92 392 6040,,,,2026-05-10T06:28:11.683536+00:00
Berakah Coffee,Cafe,Addis Ababa,"2R2M+H83, Bole Atlas, Addis Ababa, Ethiopia",4.6,12.0,,,,,2026-05-10T06:28:11.683536+00:00
Mamokacha,"Coffee shop, Restaurant",Addis Ababa,"XQVH+WF5, Addis Ababa, Ethiopia",4.4,244.0,+251 95 598 7640,http://mamokachaplc.com/,"https://goo.gl/maps/VtbjmcDkqhCBwngX8 | https://goo.gl/maps/Y1LPdKC6k7y6U9bS8 | https://goo.gl/maps/mfgQJdYLT5nF96xj8 | https://goo.gl/maps/vR415qqiLicJ9kY2A | https://mamokachaplc.com/ | https://mamokachaplc.com/Hotel-resorts | https://mamokachaplc.com/about-mamokacha/ | https://mamokachaplc.com/about/ | https://mamokachaplc.com/agro-processing | https://mamokachaplc.com/agro-processing/ | https://mamokachaplc.com/coffee | https://mamokachaplc.com/contact/ | https://mamokachaplc.com/hotel | https://mamokachaplc.com/hotel-resorts/ | https://mamokachaplc.com/hotel/ | https://mamokachaplc.com/mamokacha-menu/ | https://mamokachaplc.com/restaurant | https://mamokachaplc.com/retail | https://mamokachaplc.com/retail/ | https://www.google.com/maps/place/Refenti+(Bole+Bulbula)/@8.9485018,38.7847881,15z/data=!4m6!3m5!1s0x164b8381b5827fdb:0xf5710bcf42a8f118!8m2!3d8.9485018!4d38.7847881!16s%2Fg%2F11rrjr4s40?entry=ttu | https://www.tripadvisor.com/Restaurant_Review-g293791-d10326579-Reviews-Mamokacha_Cafe-Addis_Ababa.html",,2026-05-10T06:28:11.683536+00:00
Eliana Coffee,Cafe,Addis Ababa,"XQQM+4J7, Addis Ababa, Ethiopia",4.6,23.0,,,,,2026-05-10T06:28:11.683536+00:00
LONDON CAFE. No 3,Coffee shop,Addis Ababa,"XQWP+RVJ, Ednamall, Addis Ababa, Ethiopia",3.6,38.0,,,,,2026-05-10T06:28:11.683536+00:00
Werka Coffee | bole | ወርቃ ኮፊ | ቦሌ,"Restaurant, Coffee shop",Addis Ababa 0000,"Addis Ababa 0000, Ethiopia",4.2,102.0,+251 99 283 8383,,,,2026-05-10T06:28:11.683536+00:00
Cafe Allebany,Cafe,Addis Ababa,"Ethiopia, Addis Ababa, Kokeb Building",5.0,2.0,,,,,2026-05-10T06:28:11.683536+00:00
Elelta Coffee | Bole | እልልታ ኮፊ | ቦሌ,Coffee shop,Addis Ababa,"XQQR+89F, Addis Ababa, Ethiopia",4.7,6.0,,,,,2026-05-10T06:28:11.683536+00:00
Meazi Coffee,Coffee shop,Addis Ababa 1000,"Addis Ababa 1000, Ethiopia",4.7,36.0,+251 92 194 1446,,,,2026-05-10T06:28:11.683536+00:00
Cremino café,"Cafe, Restaurant",Addis Ababa,"Africa Ave, Addis Ababa, Ethiopia",4.4,204.0,+251 94 406 3338,,,,2026-05-10T06:28:11.683536+00:00
Chaka Coffee,Cafe,Addis Ababa,"Mickey Leland St, Addis Ababa, Ethiopia",4.0,292.0,+251 90 916 3673,,,,2026-05-10T06:28:11.683536+00:00
Abyssinia Coffee | አቢሲኒያ ኮፊ,Coffee shop,Addis Ababa,"XQVR+W6M, Unnamed Road, Addis Ababa, Ethiopia",4.7,11.0,,,,,2026-05-10T06:28:11.683536+00:00
Feresula Coffee | Saris | ፈረሱላ ቡና | ሳሪስ,Coffee shop,Addis Ababa,"10/18, Addis Ababa, Ethiopia",4.3,92.0,+251 96 641 1151,,,,2026-05-10T06:28:11.683536+00:00
Eatnsee Cafe,Coffee shop,Addis Ababa,"Addis Ababa, Ethiopia",4.5,34.0,+251 92 622 6988,https://eatnseecafe.com/,http://eatnseecafe.com/?tr_uuid=20260510-1636-385b-8b1d-539fe2d8493a&fp=-3,,2026-05-10T06:28:11.683536+00:00
Caffeol Coffee,Coffee shop,Addis Ababa,"Addis Ababa, Ethiopia",4.3,93.0,+251 97 236 3571,http://www.caffeolcoffee.com/,https://caffeolcoffee.com/ | https://caffeolcoffee.com/coffee-shop/ | https://caffeolcoffee.com/contact/ | https://caffeolcoffee.com/get-to-know-us/ | https://caffeolcoffee.com/privacy-policy/ | https://caffeolcoffee.com/product-category/ethiopian-speciality-coffee/ | https://caffeolcoffee.com/product/arabic-qahwa/ | https://caffeolcoffee.com/product/black-pearl-yirgachefe-ethiopian-specialty-coffee/ | https://caffeolcoffee.com/product/the-forest-limmu-ethiopian-specialty-coffee/ | https://caffeolcoffee.com/product/the-ol-special-house-blend-ethiopian-specialty-coffee/ | https://caffeolcoffee.com/product/the-peak-guji-hambela-ethiopian-specialty-coffee/ | https://caffeolcoffee.com/return-policy/ | https://caffeolcoffee.com/shop/ | https://caffeolcoffee.com/supporting-women-farmers/ | https://caffeolcoffee.com/terms-and-conditions/ | https://www.facebook.com/CaffeolCoffee | https://www.instagram.com/caffe.ol/,,2026-05-10T06:28:15.803777+00:00
Golden Plate Restaurant | Bole | ጎልደን ፕሌት ሬስቶራንት | ቦሌ,"Restaurant, Western restaurant",Addis Ababa,"Abssinia Building, Cameroon St, Addis Ababa, Ethiopia",4.7,752.0,+251 97 574 5252,https://www.goldenplaterestaurant.net/,https://goldenplaterestaurant.net/ | https://goldenplaterestaurant.net/about/ | https://goldenplaterestaurant.net/contact/ | https://goldenplaterestaurant.net/menu-2/ | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC00154-2-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC06873-2-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC06952-2-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07147-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07171-2-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07471-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07509-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC08564-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC08629-1-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC08654-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09628-2-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09643-2-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09666-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09668-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09692-2-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09756-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09757-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09790-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09792-2-1024x576.jpg,,2026-05-10T06:28:15.803777+00:00
Kaldi's coffee (Bole Bulbula),Cafe,Addis Ababa,"XQ6P+PH8, Addis Ababa, Ethiopia",3.7,75.0,,,,,2026-05-10T06:28:15.803777+00:00
The Coffee Collection Addis,"Cafe, Bar, Restaurant",Ednamall In front of kaleb hotel,"Ednamall In front of kaleb hotel, Ethiopia",4.2,75.0,+251 90 908 2208,,,,2026-05-10T06:28:15.803777+00:00
Haile Premium Coffee | Bole,Coffee shop,Addis Ababa,"XQRM+4WM, Addis Ababa, Ethiopia",3.8,61.0,+251 97 499 5757,http://hailecoffee.abaymenu.com/,https://www.abayqr.com | https://www.abayqr.com/ | https://www.facebook.com | https://www.instagram.com | https://www.tiktok.com | https://www.youtube.com,,2026-05-10T06:28:15.803777+00:00
Beelofe Coffee | ቢሎፊ ኮፊ,Coffee shop,Addis Ababa,"2RJR+7HW, Addis Ababa, Ethiopia",5.0,11.0,+251 97 515 3470,,,,2026-05-10T06:28:15.803777+00:00
Cream & Beans,Cafe,Addis Ababa,"Unity University, Behind, Addis Ababa, Ethiopia",4.4,67.0,+251 94 400 2423,https://cream-and-beans.vercel.app/,https://pawlos-mulugeta-portfolio.vercel.app/ | https://www.facebook.com/CREAMnBEANS | https://www.instagram.com/creamnbeans,,2026-05-10T06:28:15.803777+00:00
Stella Coffee Roaster and Cafe,Coffee roastery,Addis Ababa,"Ethio China St, Addis Ababa, Ethiopia",4.6,49.0,+251 91 121 3496,http://stellacoffeeet.com/,,,2026-05-10T06:28:15.803777+00:00
Kala coffee,Coffee shop,Addis Ababa,"XQWQ+96R, Addis Ababa, Ethiopia",4.2,14.0,+251 94 730 4848,,,,2026-05-10T06:28:15.803777+00:00
Sunbird Cafe,Cafe,Addis Ababa,"XQQR+9H9, Airport Road, Addis Ababa, Ethiopia",4.1,33.0,+251 11 618 1383,,,,2026-05-10T06:28:15.803777+00:00
Fili Coffee,Coffee shop,Addis Ababa,"Addis Ababa, Ethiopia",4.6,171.0,+251 91 102 9370,http://www.filicoffee.com/,,,2026-05-10T06:28:15.803777+00:00
Maya coffee House,Coffee shop,Addis Ababa 1000,"Bole Mengde, Addis Ababa 1000, Ethiopia",5.0,4.0,+251 97 267 9898,,,,2026-05-10T06:28:15.803777+00:00
Chaka Coffee Morning Branch,Coffee shop,Addis Ababa,"Addis Ababa, Ethiopia",4.0,35.0,,,,,2026-05-10T06:28:15.803777+00:00
Kiya Coffee - New Stadium,Coffee shop,Addis Ababa,"BL_03_575 St, Addis Ababa, Ethiopia",5.0,10.0,+251 98 288 8818,,,,2026-05-10T06:28:15.803777+00:00
Coffee bole addis ababa,Coffee shop,Addis Ababa,"XQXM+JF4, Alem Dessu Building, Addis Ababa, Ethiopia",4.3,3.0,+251 98 822 1389,,,,2026-05-10T06:28:15.803777+00:00
Litte Coffee And Juice Bar,Coffee shop,Bole 14/15,"Bole 14/15, Ethiopia",5.0,2.0,+251 94 150 8370,,,,2026-05-10T06:28:15.803777+00:00
Moyee cafe,Cafe,Addis Ababa,"2Q2H+RQ8, Addis Ababa, Ethiopia",4.1,68.0,,https://www.moyeeethiopia.com/,,,2026-05-10T06:28:15.803777+00:00
AKKOO COFFEE,Coffee shop,Addis Ababa,"next to the traffic light, Post Office, Churchill Road, in front of General, Addis Ababa, Ethiopia",4.0,197.0,+251 90 582 8282,http://akkoocoffee.com/,http://akkoocoffee.com/ | http://akkoocoffee.com/about | http://akkoocoffee.com/cart | http://akkoocoffee.com/community | http://akkoocoffee.com/menu | http://akkoocoffee.com/our-locations | http://akkoocoffee.com/services | http://akkoocoffee.com/story | https://thisismoxi.com | https://www.facebook.com/akkoocoffee/ | https://www.tripadvisor.com/UserReviewEdit-g293791-d20415210-Akkoo_Coffee-Addis_Ababa.html,,2026-05-10T06:28:15.803777+00:00
Kiya Coffee Shop,"Coffee shop, Coffee store",Addis Ababa,"XQW8+PQR, Gabon St, Addis Ababa, Ethiopia",4.8,37.0,+251 91 973 2323,,,,2026-05-10T06:28:15.803777+00:00
Theo Cafe,Cafe,Addis Ababa,"2VF2+RR2, Addis Ababa, Ethiopia",4.7,25.0,,,,,2026-05-10T06:28:15.803777+00:00
Maya Coffee & Cultural Restaurant,Family restaurant,Goro,"Goro, Ethiopia",5.0,19.0,+251 91 010 2295,,,,2026-05-10T06:28:20.526130+00:00
Bole Addis Ababa,Coffee shop,Addis Ababa,"XQXM+X3W, Addis Ababa, Ethiopia",,,,,,,2026-05-10T06:28:20.526130+00:00
Natani Cafe,European restaurant,Addis Ababa,"XQQQ+J4F, Addis Ababa, Ethiopia",4.0,181.0,+251 97 017 1717,,,,2026-05-10T06:28:20.526130+00:00
Cupcake Delights Bakery,Cafe,Addis Ababa,"XQWP+65M, Addis Ababa, Ethiopia",4.0,113.0,+251 91 164 1464,,,,2026-05-10T06:28:20.526130+00:00
Hiwot Samrawit And Halima Cafe And Restorant P/S,Cafe,Addis Ababa,"Addis Ababa, Ethiopia",4.7,3.0,+251 91 239 8037,,,,2026-05-10T06:28:20.526130+00:00
Metro Bole Cafe and Restaurant,Restaurant,Morning Star Mall 1st floor,"Camerron st. Bole Medihanyalem Next to Ednamall, Morning Star Mall 1st floor, Ethiopia",3.8,36.0,,,,,2026-05-10T06:28:20.526130+00:00
KANYA Cafe,Cafe,Addis Ababa,"House Number 2229, Cameroon Street, Woreda 03, Bole Sub city, Addis Ababa, Ethiopia",4.0,10.0,+251 90 396 0000,,,,2026-05-10T06:28:20.526130+00:00
2000 Habesha cultural restaurant | Bole Atlas | 2000 ሀበሻ የባህል ሬስቶራንት | ቦሌ አትላስ,Ethiopian restaurant,Addis Ababa,"Namibia St, Addis Ababa, Ethiopia",4.3,741.0,+251 91 283 8383,,,,2026-05-10T06:28:20.526130+00:00
Fanous Cafe 2,Cafe,Addis Ababa,"XQQQ+9JC, Airport Road, Addis Ababa, Ethiopia",4.1,56.0,,,,,2026-05-10T06:28:20.526130+00:00
Jiren Coffee,Coffee shop,Addis Ababa 0000,"Addis Ababa Cameron Street, Oromia Tower, 1st floor, Addis Ababa 0000, Ethiopia",5.0,5.0,+251 91 232 8279,,,,2026-05-10T06:28:20.526130+00:00
Hebir Ethiopia Cultural Restaurant | Bole | ህብር ኢትዮጲያ ባህላዊ ሬስቶራንት | ቦሌ,Restaurant,Addis Ababa,"Africa Avenu Africa Ave, Addis Ababa, Ethiopia",4.1,297.0,+251 11 662 0922,,,,2026-05-10T06:28:20.526130+00:00
La Nouvelle Cafe & Restaurant l ላ ኑቬል ካፌ እና ሬስቶራንት,Restaurant,Addis Ababa,"Bole behind Millenium Hall, next to Ambassador Hotel, Addis Ababa, Ethiopia",4.1,277.0,+251 92 993 0200,https://instagram.com/la_nouvelle_addis?utm_medium=copy_link,,,2026-05-10T06:28:20.526130+00:00
Chaka Buna,Cafe,Addis Ababa,"2Q73+M2, Addis Ababa, Ethiopia",4.1,42.0,+251 90 327 3767,https://chakacoffee.com/,https://beudelivery.com/ | https://chakacoffee.com | https://chakacoffee.com/ | https://chakacoffee.com/company-information/ | https://chakacoffee.com/contact-us/ | https://chakacoffee.com/events/ | https://chakacoffee.com/locations/ | https://chakacoffee.com/our-story/ | https://chakacoffee.com/social-responsibility/ | https://chakacoffee.com/what-we-do/ | https://chakacoffee.com/wp-content/uploads/2024/03/gal-1.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-2.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-3.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-4.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-5.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-6.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-7.jpg | https://chakacoffee.com/wp-content/uploads/2024/03/gal-8.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-1.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-2.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-3.jpg | https://chakacoffee.com/wp-content/uploads/2024/08/home-company-4.jpg | https://deliveraddis.com/restaurants/chaka-buna-bole | https://feres.co/ | https://www.facebook.com/ychakacoffee | https://www.instagram.com/chaka_coffee?igsh=bjNwbjdyOXFidDdu&utm_source=qr | https://www.ridefood.app/en/addis-ababa/vendor/53 | https://www.tiktok.com/@chakacoffee?_t=8mOSuAdXqXF&_r=1 | https://www.youtube.com/@ChakaCoffee | https://www.zmalldelivery.com/,,2026-05-10T06:28:20.526130+00:00
Artisan Bakery by Entoto| ቦሌ,Bakery,Addis Ababa,"XQRJ+MJ3, Abyssinia Real Estate Building Ground Floor, Airport Rd, Addis Ababa, Ethiopia",4.1,46.0,+251 96 363 9963,,,,2026-05-10T06:28:20.526130+00:00
Hadero Coffee Company - ሀደሮ ቡና አቅራቢ ድርጅት,"Coffee roastery, Coffee shop",Addis Ababa,"2R6C+WPF, Jacros - Salite Mehret Rd, Addis Ababa, Ethiopia",4.3,81.0,+251 11 667 0708,,,,2026-05-10T06:28:20.526130+00:00
Ardent Coffee,Coffee shop,Addis Ababa,"6GXW2R38+6R, Addis Ababa, Ethiopia",4.3,12.0,+251 96 600 0055,,,,2026-05-10T06:28:20.526130+00:00
One-KOO Coffee,Coffee shop,Addis Ababa,"XQMV+9XM, Addis Ababa, Ethiopia",3.9,38.0,,,,,2026-05-10T06:28:20.526130+00:00
Entoto,Coffee shop,Addis Ababa,"XQMW+57C, Addis Ababa, Ethiopia",3.2,62.0,,,,,2026-05-10T06:28:20.526130+00:00
Tuba Cafe,Cafe,Addis Ababa,"XRV6+RQ6, Addis Ababa, Ethiopia",4.1,17.0,,,,,2026-05-10T06:28:20.526130+00:00
Panda Boba Tea & Cafe,Cafe,Addis Ababa,"Namibia St, Addis Ababa, Ethiopia",4.5,52.0,+251 97 565 2999,https://instagram.com/pandabobatea_et?igshid=YmMyMTA2M2Y=,,,2026-05-10T06:28:20.526130+00:00
Coffee Of,Cafe,Bole 14/15,"Bole 14/15, Ethiopia",,,+251 91 835 0067,,,,2026-05-10T06:28:24.862106+00:00
Janco coffee,Coffee shop,Addis Ababa,"XRXC+HMJ, Addis Ababa, Ethiopia",5.0,5.0,+251 91 381 8974,,,,2026-05-10T06:28:24.862106+00:00
Mitmita,Restaurant,Addis Ababa,"Millennium Apartment Hotel Rd, Addis Ababa, Ethiopia",4.3,322.0,+251 97 819 7800,,,,2026-05-10T06:28:24.862106+00:00
"Robera Coffee | Addis Ababa, Ethiopia | Jackros Salite-Mehret Road","Coffee roastery, Exporter",Addis Ababa,"Addis Ababa, Ethiopia",4.3,80.0,+251 91 152 5750,https://roberacoffee.com/,http://ethio-technology.com/ | https://roberacoffe.com/tuition-fee/ | https://roberacoffee.com/ | https://roberacoffee.com/about-me/ | https://roberacoffee.com/about-us/ | https://roberacoffee.com/blog/left-sidebar/ | https://roberacoffee.com/cart/ | https://roberacoffee.com/coffee-estate/ | https://roberacoffee.com/contact-us/ | https://roberacoffee.com/elements/institute/ | https://roberacoffee.com/elements/what-we-offer/ | https://roberacoffee.com/instructor/ | https://roberacoffee.com/locations/ | https://roberacoffee.com/portfolio-gallery/ | https://roberacoffee.com/shop-2/ | https://roberacoffeeplc.com/ | https://twitter.com/ | https://twitter.com/qodeinteractive/ | https://www.facebook.com/qodeinteractive/ | https://www.facebook.com/roberacoffee/ | https://www.instagram.com/roberacoffee/,,2026-05-10T06:28:24.862106+00:00
