name,category,neighborhood,full_address,rating,review_count,phone,website,links_on_site,google_maps_url,scraped_at
KOBA Patisserie & Bakery | Kebena | ኮባ መጋገሪያ እና ዳቦ ቤት | ቀበና,Bakery,Addis Ababa,"Shewareged Gedle St, Addis Ababa, Ethiopia",4.4,284.0,+251 94 100 0022,,,,2026-05-10T06:37:48.982391+00:00
Occasion Pastry and Cakes in Ethiopia,Cake shop,Addis Ababa 1616,"XQWQ+79C, Djibouti St, Addis Ababa 1616, Ethiopia",4.1,94.0,+251 94 342 4242,,,,2026-05-10T06:37:48.982391+00:00
Mulmul Bakery,Bakery,Addis Ababa,"XQRH+HVJ, Airport Rd, Addis Ababa, Ethiopia",4.3,72.0,,,,,2026-05-10T06:37:48.982391+00:00
MARYOMA Bakery,Bakery,Addis Ababa,"Figa, Addis Ababa, Ethiopia",4.9,12.0,+251 97 678 8920,,,,2026-05-10T06:37:48.982391+00:00
Bilos Pastry | Gurd Shola,Pastry shop,Addis Ababa,"2R98+P5R, Addis Ababa, Ethiopia",4.1,89.0,+251 11 416 9667,http://bilospastry.com/,http://bilospastry.com/ | http://bilospastry.com/about | http://bilospastry.com/bilos/about | http://bilospastry.com/bilos/contact-us | http://bilospastry.com/bilos/locations | http://bilospastry.com/bilos/menu | http://bilospastry.com/careers | http://bilospastry.com/contact-us | http://bilospastry.com/events-and-announcements | http://bilospastry.com/gallery | http://bilospastry.com/locations | http://bilospastry.com/menu | http://www.instagram.com/bilos_pastry | https://bilospastry.com | https://bilospastry.com/ | https://bilospastry.com/about/ | https://bilospastry.com/careers/ | https://bilospastry.com/contact-us/ | https://bilospastry.com/events-and-announcements/ | https://bilospastry.com/gallery/ | https://bilospastry.com/locations/ | https://bilospastry.com/menu/ | https://www.facebook.com/p/Bilos-Pastry,,2026-05-10T06:37:48.982391+00:00
Artisan Bakery by Entoto| ቦሌ,Bakery,Addis Ababa,"XQRJ+MJ3, Abyssinia Real Estate Building Ground Floor, Airport Rd, Addis Ababa, Ethiopia",4.1,46.0,+251 96 363 9963,,,,2026-05-10T06:37:48.982391+00:00
Savor Restaurant/ሴቨር ሬስቶራንት,"Restaurant, Ice cream shop, Pastry shop, Pizza restaurant",Addis Ababa,"Addis Ababa, Ethiopia",4.7,1251.0,+251 93 601 0518,,,,2026-05-10T06:37:48.982391+00:00
Beets Bakery,Bakery,Addis Ababa,"St. Gebreal Building, Mickey Leland St, Addis Ababa, Ethiopia",4.8,10.0,+251 96 641 5800,,,,2026-05-10T06:37:48.982391+00:00
KOBA Patisserie & Bakery - 4 Kilo Branch,Bakery,Addis Ababa,"King George VI St, Addis Ababa, Ethiopia",4.3,127.0,+251 90 089 8989,https://kobapatisserie.com/,https://cookiedatabase.org/tcf/purposes/ | https://goo.gl/maps/CkNs9BZYkGsKZHqx7 | https://goo.gl/maps/YXzMQXcWPwgt1wsS8 | https://goo.gl/maps/s5pMUmbZtQzDMfye9 | https://kobapatisserie.com | https://kobapatisserie.com/ | https://kobapatisserie.com/menu/ | https://kobapatisserie.com/menu/#order,,2026-05-10T06:37:48.982391+00:00
Latika Bakery | Salite Meheret | ላቲካ ዳቦ መጋገርያ | ሳሊተ ምህረት,Bakery,Addis Ababa,"2R7F+Q7G, Addis Ababa, Ethiopia",4.4,48.0,+251 90 420 1406,,,,2026-05-10T06:37:48.983008+00:00
Konditorei summit branch,Pastry shop,Addis Ababa,"2V74+C72, Addis Ababa, Ethiopia",3.9,170.0,+251 99 425 2375,,,,2026-05-10T06:37:54.768224+00:00
The Dessert Bar,"Dessert shop, Cafe, Dessert restaurant",Addis Ababa 1000,"Atlas road Ground Floor Addis Ville Hotel Apartment, Addis Ababa 1000, Ethiopia",4.1,130.0,+251 90 018 2929,,,,2026-05-10T06:37:54.768224+00:00
Bigne pastry,Pastry shop,Addis Ababa,"Gerji roba, Addis Ababa, Ethiopia",3.0,2.0,,,,,2026-05-10T06:37:54.768224+00:00
Cupcake Delights Bakery,Cafe,Addis Ababa,"XQWP+65M, Addis Ababa, Ethiopia",4.0,113.0,+251 91 164 1464,,,,2026-05-10T06:37:54.768224+00:00
Bunzy,Bakery,Addis Ababa,"Mariam mazoriea, Addis Ababa, Ethiopia",5.0,14.0,+251 94 474 5254,,,,2026-05-10T06:37:54.768224+00:00
Taem bakery & pastry | Ayat | ጣእም ዳቦ | አያት,Bakery,Addis Ababa,"A2, Addis Ababa, Ethiopia",3.9,48.0,+251 96 900 0005,http://www.taembakery.com/,https://p6dev.com/ | https://play.google.com/store/apps/details?id=com.taembakery.taem_bakery | https://taembakery.com/privacy-policy | https://www.taembakery.com | https://www.taembakery.com/about | https://www.taembakery.com/contact | https://www.taembakery.com/product/121 | https://www.taembakery.com/product/122 | https://www.taembakery.com/product/124 | https://www.taembakery.com/product/125 | https://www.taembakery.com/product/126 | https://www.taembakery.com/product/127 | https://www.taembakery.com/product/130 | https://www.taembakery.com/product/131 | https://www.taembakery.com/shop,,2026-05-10T06:37:54.768224+00:00
Enrico Pastry,"Pastry shop, Restaurant",Addis Ababa,"2QH3+V5W, Addis Ababa, Ethiopia",4.6,250.0,+251 91 128 6453,,,,2026-05-10T06:37:54.769223+00:00
London Cafe | Bole Medhanialem | ለንደን ካፌ | ቦሌ መድሃኒዓለም,Coffee shop,Addis Ababa,"Cameroon St, Addis Ababa, Ethiopia",3.5,153.0,+251 98 048 3020,,,,2026-05-10T06:37:54.769223+00:00
Buffy pastry & Bakery,Pastry shop,Addis Ababa 9248,"Cape Verde St, Addis Ababa 9248, Ethiopia",4.2,11.0,+251 98 503 8957,,,,2026-05-10T06:37:54.769223+00:00
Cake city | Bole | ኬክ ሲቲ | ቦሌ,Cake shop,Addis Ababa,"XQRP+83Q, Addis Ababa, Ethiopia",3.7,14.0,,,,,2026-05-10T06:37:54.769223+00:00
Chewy Sweet Factory,Bakery,Addis Ababa 1000,"2RCQ+F8R, CMC, Addis Ababa 1000, Ethiopia",4.3,18.0,+251 90 363 0818,https://chewysweetfactory.com/,https://chewysweetfactory.com | https://chewysweetfactory.com/ | https://chewysweetfactory.com/?add-to-cart=192 | https://chewysweetfactory.com/?add-to-cart=202 | https://chewysweetfactory.com/?add-to-cart=203 | https://chewysweetfactory.com/?add-to-cart=204 | https://chewysweetfactory.com/?add-to-cart=206 | https://chewysweetfactory.com/?add-to-cart=208 | https://chewysweetfactory.com/about-us/ | https://chewysweetfactory.com/contact-us/ | https://chewysweetfactory.com/my-account/ | https://chewysweetfactory.com/product-category/chewy-drinks/ | https://chewysweetfactory.com/product-category/chewy-menu/ | https://chewysweetfactory.com/product/black-coffee/ | https://chewysweetfactory.com/product/boxegna/ | https://chewysweetfactory.com/product/cappuccino/ | https://chewysweetfactory.com/product/caramel/ | https://chewysweetfactory.com/product/chocolate-tart/ | https://chewysweetfactory.com/product/fruit-tart/ | https://chewysweetfactory.com/product/macchiato/ | https://chewysweetfactory.com/product/miliphoni/ | https://chewysweetfactory.com/product/milk/ | https://chewysweetfactory.com/product/soft-cake/ | https://chewysweetfactory.com/product/sprite/ | https://chewysweetfactory.com/product/tea/ | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-1.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-10.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-2.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-3.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-4.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-5.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-6.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-7.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-8.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div-9.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/Div.png | https://chewysweetfactory.com/wp-content/uploads/2025/02/half.png | https://www.facebook.com/chewysweetfactory | https://www.instagram.com/chewysweetfactory/ | https://x.com/ChewyFactory,,2026-05-10T06:37:54.769223+00:00
LULLI CAKE DESIGNS,Cake shop,Addis Ababa,"2R6R+96J, Addis Ababa, Ethiopia",4.8,26.0,+251 91 194 0575,,,,2026-05-10T06:37:54.769223+00:00
Kaiser German Artisan Bakery,Bakery,Addis Ababa,"2Q89+2Q7, Addis Ababa, Ethiopia",4.5,24.0,+251 98 477 8888,,,,2026-05-10T06:37:54.769223+00:00
Celavie bakery and cake,Bakery,Addis Ababa,"XQRV+367, Addis Ababa, Ethiopia",4.2,9.0,,,,,2026-05-10T06:37:54.769223+00:00
Bilos Pastry | Atlas Branch | ቢሎስ | አትላስ |,Cafe,Addis Ababa,"Addis Ababa, Ethiopia",3.8,78.0,+251 93 003 3177,,,,2026-05-10T06:37:54.769223+00:00
Chef Gedion Cake semit,Cake shop,Addis Ababa,"Addis Ababa, Ethiopia",4.5,24.0,,,,,2026-05-10T06:37:54.769223+00:00
Yedi Chiko (የዲ ጭኮ),Bakery,Addis Ababa,"XRW5+556, Addis Ababa, Ethiopia",5.0,2.0,,,,,2026-05-10T06:37:54.769223+00:00
Mulmul bakery pastry and pizzeria,Bakery,Addis Ababa,"Daminarof Building, Addis Ababa, Ethiopia",4.2,21.0,,,,,2026-05-10T06:37:54.769223+00:00
Five Loaves Bistro and Bakery,"Bakery, Western restaurant",Addis Ababa 1000,"2 Tsehafi Tiezaz Afewerk St, Addis Ababa 1000, Ethiopia",4.4,517.0,+251 99 394 9395,https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/five-loaves/,https://ethiopia.dealroom.co/dashboard | https://ethiopia.mylexisnexis.co.za/#/navigation-view;listCode=LNSA | https://etrade.gov.et/ | https://hulunem.com | https://hulunem.com/ | https://hulunem.com/about-us/ | https://hulunem.com/ai-agent-policy/ | https://hulunem.com/all-categories/ | https://hulunem.com/blog/ | https://hulunem.com/business-opportunities/ | https://hulunem.com/click/12941/ | https://hulunem.com/data-licensing/ | https://hulunem.com/entrepreneurs/ | https://hulunem.com/ethiopia-business-guides/ | https://hulunem.com/events/ | https://hulunem.com/events/ethiopia/addis-ababa/addis-ababa/ | https://hulunem.com/events/ethiopia/addis-ababa/addis-ababa/brunch-at-five-loaves-bistro-and-bakery/ | https://hulunem.com/events/ethiopia/addis-ababa/addis-ababa/brunch-at-five-loaves-bistro-and-bakery/#post_content | https://hulunem.com/events/ethiopia/addis-ababa/addis-ababa/brunch-at-five-loaves-bistro-and-bakery/#reviews | https://hulunem.com/events/ethiopia/addis-ababa/addis-ababa/brunch-at-five-loaves-bistro-and-bakery/?gde=2026-03-08 | https://hulunem.com/events/ethiopia/addis-ababa/addis-ababa/brunch-at-five-loaves-bistro-and-bakery/?gde=2026-03-15 | https://hulunem.com/frequently-asked-questions/ | https://hulunem.com/hulunem-guides/ | https://hulunem.com/hulunem-guides/how-to-claim-your-business/ | https://hulunem.com/location/canada/ontario/toronto/ | https://hulunem.com/location/ethiopia/addis-ababa/addis-ababa/ | https://hulunem.com/location/ethiopia/amhara/gondar/ | https://hulunem.com/location/ethiopia/oromia/adama/ | https://hulunem.com/location/ethiopia/oromia/bishoftu/ | https://hulunem.com/location/ethiopia/southern-nations-nationalities-and-peoples/hawassa/ | https://hulunem.com/location/ethiopia/tigray/mekele/ | https://hulunem.com/location/united-states/maryland/silver-spring/ | https://hulunem.com/login/ | https://hulunem.com/our-reach/ | https://hulunem.com/place/category/accommodations/ | https://hulunem.com/place/category/attractions/ | https://hulunem.com/place/category/bakeries/ethiopia/addis-ababa/addis-ababa/ | https://hulunem.com/place/category/banks/ | https://hulunem.com/place/category/beauty-spas/ | https://hulunem.com/place/category/business-services/ | https://hulunem.com/place/category/food-drink/ | https://hulunem.com/place/category/food-drink/ethiopia/addis-ababa/addis-ababa/ | https://hulunem.com/place/category/hospitals/ | https://hulunem.com/place/category/real-estate/ | https://hulunem.com/place/category/restaurants/ethiopia/addis-ababa/addis-ababa/ | https://hulunem.com/place/category/schools/ | https://hulunem.com/place/category/shopping/ | https://hulunem.com/place/category/universities/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/bgs-poultry-farm-hayat/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/bgs-poultry-farm-lebu/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/bgs-poultry-farm-summit/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/carnivore-by-misrak-ber-bole-medanialem/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/cascara-courtyard-cafe-and-bar/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/cprem-gastronomy-mixology/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/five-loaves/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/five-loaves/#comment-296 | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/five-loaves/#comment-394 | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/five-loaves/#respond | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/five-loaves/#reviews | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/jade-pan-asian-restaurant/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/pizza-hut-ethiopia/ | https://hulunem.com/place/ethiopia/addis-ababa/addis-ababa/tian-tian-chinese-restaurant/ | https://hulunem.com/pricing/ | https://hulunem.com/privacy-policy/ | https://hulunem.com/register/ | https://hulunem.com/sitemap_index.xml | https://hulunem.com/submit-your-story/ | https://hulunem.com/support/ | https://hulunem.com/terms-of-service/ | https://hulunem.com/things-to-do-in-addis-ababa/ | https://hulunem.com/things-to-do-in-arba-minch/ | https://hulunem.com/things-to-do-in-bishoftu/ | https://hulunem.com/things-to-do-in-hawassa/ | https://hulunem.com/travel/ | https://hulunem.com/votedbest/ | https://hulunem.com/votedbest/2017ec-2025/ | https://hulunem.com/wp-content/uploads/2025/01/loaves.jpg | https://hulunem.com/wp-content/uploads/2025/01/loaves_1.jpg | https://hulunem.com/wp-content/uploads/2025/01/loaves_3.jpg | https://hulunem.com/wp-content/uploads/2025/05/Five-Loaves-Addis-Ababa.webp | https://hulunem.com/wp-content/uploads/2025/05/Five-Loaves-Addis-Ababa_1.webp | https://hulunem.com/write-a-review/ | https://jobs.hulunem.com/ | https://markets.hulunem.com/ | https://t.me/hulunemChannel | https://tenders.hulunem.com/ | https://twitter.com/share?url=https%3A%2F%2Fhulunem.com%2Fplace%2Fethiopia%2Faddis-ababa%2Faddis-ababa%2Ffive-loaves%2F | https://www.facebook.com/hulunem1/ | https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fhulunem.com%2Fplace%2Fethiopia%2Faddis-ababa%2Faddis-ababa%2Ffive-loaves%2F | https://www.google.com/maps?q=2QFH%2B75G%2C+Addis+Ababa | https://www.google.com/maps?q=2QFH%2B75G%2C+Addis+Ababa%2C+Ethiopia. | https://www.instagram.com/hulunem_/ | https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fhulunem.com%2Fplace%2Fethiopia%2Faddis-ababa%2Faddis-ababa%2Ffive-loaves%2F | https://www.tiktok.com/@hulunem.com | https://www.tiktok.com/@hulunem_/video/7501449474498252087 | https://www.youtube.com/@Hulunem | https://x.com/hulunem_,,2026-05-10T06:37:54.769223+00:00
Mado Bakery & Pastry | ማዶ ዳቦና ኬክ,Pastry shop,Addis Ababa,"2R6W+454, Semit raod, Addis Ababa, Ethiopia",5.0,7.0,+251 90 076 7626,,,,2026-05-10T06:37:59.471226+00:00
Roba Bakery | Gerji | ሮቫ ዳቦ መጋገሪያ | ገርጂ,Bakery,Addis Ababa,"XRV7+RCX, Ring Road, Addis Ababa, Ethiopia",4.1,164.0,,,,,2026-05-10T06:37:59.471226+00:00
Pain d'épice French Bakery & Restaurant,"Bakery, Restaurant",Addis Ababa,"Addis Ababa, Ethiopia",4.3,224.0,+251 94 426 0136,,,,2026-05-10T06:37:59.471226+00:00
Mulmul Bakery | Gurdshola,Bakery,Addis Ababa,"2R98+Q45, Jacros - Salite Mehret Rd, Addis Ababa, Ethiopia",4.3,38.0,+251 91 367 1201,,,,2026-05-10T06:37:59.471226+00:00
Kiko Pastry,Pastry shop,Addis Ababa,"2R23+79, Addis Ababa, Ethiopia",4.2,17.0,,,,,2026-05-10T06:37:59.471226+00:00
Aberus Bakery | Bole Bulbula | አበሩስ መጋገርያ | ቦሌ ቡልቡላ,Bakery,Bole 17/19/20,"Bole 17/19/20, Ethiopia",3.0,2.0,,,,,2026-05-10T06:37:59.471226+00:00
Conte Pastry,Pastry shop,Addis Ababa,"Imperial, Addis Ababa, Ethiopia",4.8,5.0,+251 96 678 9630,http://contepastry.com/,,,2026-05-10T06:37:59.471226+00:00
Mulmul Bakery | Bole Bulbula | ሙልሙል ዳቦ | ቦሌ ቡልቡላ,Bakery,Addis Ababa,"XQ2P+CFH, Addis Ababa, Ethiopia",3.9,8.0,,,,,2026-05-10T06:37:59.471226+00:00
Ayuk Bakery & Pastry,Bakery,Addis Ababa,"WQXJ+6Q6, Addis Ababa, Ethiopia",4.5,4.0,,,,,2026-05-10T06:37:59.471226+00:00
Baron Cafe| ባሮን ካፌ,"Cafe, Coffee shop, Juice shop, Pastry shop",Addis Ababa,"Baron, Addis Ababa, Ethiopia",4.9,41.0,+251 98 830 8282,,,,2026-05-10T06:37:59.471226+00:00
Siro bakery,Bakery,Addis Ababa,"Addis Ababa, Ethiopia",4.3,7.0,+251 91 130 6573,http://siro.atikawec.com/,,,2026-05-10T06:37:59.471226+00:00
Bilo's Pastry,Pastry shop,Addis Ababa,"2Q86+MC6, Addis Ababa, Ethiopia",2.0,1.0,,,,,2026-05-10T06:37:59.471226+00:00
Sumeya Bakery,Bakery,Addis Ababa,"XRV5+54G, Addis Ababa, Ethiopia",5.0,2.0,,,,,2026-05-10T06:37:59.471226+00:00
Beka Bakery & Pastry,Bakery,Addis Ababa,"Jakros - Goro Street, Addis Ababa, Ethiopia",4.2,20.0,+251 91 156 7183,,,,2026-05-10T06:37:59.471226+00:00
The blue hen | Kazanchis,"Restaurant, Art cafe, Art gallery, Patisserie",Addis Ababa,"Addis Ababa, Ethiopia",4.7,72.0,+251 99 172 1626,,,,2026-05-10T06:37:59.471226+00:00
Lee Pastry,Cafe,Addis Ababa,"Bekelech St, Addis Ababa, Ethiopia",5.0,7.0,+251 98 732 8530,https://linktr.ee/leepastryy,https://linktr.ee/BETFLIX282BET | https://linktr.ee/Buzzkilla0 | https://linktr.ee/DianaDickerson | https://linktr.ee/ISToraTV | https://linktr.ee/Lislop.ecu | https://linktr.ee/Maggiemayehaha | https://linktr.ee/RexSuave | https://linktr.ee/Selinecosu | https://linktr.ee/UKSteelersPod | https://linktr.ee/Vinnc_SingerSongwriter | https://linktr.ee/Wallymarquis | https://linktr.ee/_flokkii_ | https://linktr.ee/abumuadz75 | https://linktr.ee/agrimmcharacter | https://linktr.ee/alisonsetton | https://linktr.ee/alliweatherly | https://linktr.ee/anazdiary | https://linktr.ee/artbyarwen | https://linktr.ee/bgtime | https://linktr.ee/bialystokcerveceria | https://linktr.ee/blog | https://linktr.ee/blogs/categories/success-stories | https://linktr.ee/camrynbynum | https://linktr.ee/carolinericke | https://linktr.ee/carolynceo | https://linktr.ee/conectacontuser.consultorio | https://linktr.ee/diooo.sbd | https://linktr.ee/estudantadopassionistag | https://linktr.ee/excel_ricch | https://linktr.ee/features/ai-caption-generator | https://linktr.ee/features/analytics | https://linktr.ee/features/audience-management | https://linktr.ee/features/bookings | https://linktr.ee/features/canva-integration | https://linktr.ee/features/contact-forms | https://linktr.ee/features/courses | https://linktr.ee/features/digital-products | https://linktr.ee/features/email-integrations | https://linktr.ee/features/hashtag-generator | https://linktr.ee/features/instagram-auto-reply | https://linktr.ee/features/link-shortener | https://linktr.ee/features/qr-code-generator | https://linktr.ee/features/rewards | https://linktr.ee/features/shops | https://linktr.ee/features/social-planner | https://linktr.ee/features/social-planner/facebook | https://linktr.ee/features/social-planner/instagram | https://linktr.ee/features/social-planner/linkedin | https://linktr.ee/features/social-planner/pinterest | https://linktr.ee/features/social-planner/threads | https://linktr.ee/features/social-planner/tiktok | https://linktr.ee/features/social-planner/youtube-shorts | https://linktr.ee/features/sponsored-links | https://linktr.ee/gabrielabibel | https://linktr.ee/genaroped | https://linktr.ee/glau_shop | https://linktr.ee/help/en | https://linktr.ee/herdstrategies | https://linktr.ee/im3vn | https://linktr.ee/laviahSereni | https://linktr.ee/leovmfps | https://linktr.ee/link-in-bio | https://linktr.ee/link-in-bio/instagram | https://linktr.ee/link-in-bio/linkedin | https://linktr.ee/link-in-bio/tiktok | https://linktr.ee/link-in-bio/x | https://linktr.ee/manscaped | https://linktr.ee/marketplace | https://linktr.ee/martyschwartz | https://linktr.ee/mythicalkitchen | https://linktr.ee/mzpurocuidado | https://linktr.ee/officialceejay98 | https://linktr.ee/old.dads | https://linktr.ee/pablolopezvaca | https://linktr.ee/pabluns | https://linktr.ee/pawsky | https://linktr.ee/privacy | https://linktr.ee/rakshithrajaram | https://linktr.ee/raraalifia | https://linktr.ee/risplendi.podcast | https://linktr.ee/s/about/trust-center/report/?field86145911=https%3A%2F%2Flinktr.ee%2Fleepastryy | https://linktr.ee/s/pricing | https://linktr.ee/s/templates | https://linktr.ee/solutions/earn | https://linktr.ee/spanx | https://linktr.ee/straycats | https://linktr.ee/tikatheiggy | https://linktr.ee/vamperlok | https://linktr.ee/veggiekins | https://linktr.ee/vinoprestige | https://linktr.ee/yanrequiem | https://linktr.ee/youlookestudio | https://linktr.ee/zionlee | https://maps.app.goo.gl/YGb8i358TtnfKyzq6 | https://wa.me/+25187328530 | https://www.tiktok.com/@leepastryy,,2026-05-10T06:37:59.471226+00:00
Elam Bakery and Pastry,Pastry shop,Addis Ababa,"2R26+P54, Addis Ababa, Ethiopia",3.0,4.0,+251 97 307 7449,,,,2026-05-10T06:37:59.471226+00:00
Turkish Bakery,Bakery,Addis Ababa,"2R52+PH2, Unnamed Road, Addis Ababa, Ethiopia",3.7,15.0,+251 91 161 8111,,,,2026-05-10T06:37:59.471226+00:00
German Bakery (LMBC),Bakery,Addis Ababa,"2QJJ+CCG, Addis Ababa, Ethiopia",5.0,3.0,,,,,2026-05-10T06:37:59.471226+00:00
Tabor bakery |Summit Feyel Bate,Bakery,Addis Ababa 1000,"Addis Ababa 1000, Ethiopia",4.2,5.0,+251 94 141 6050,http://taborbakery.com/,,,2026-05-10T06:38:04.662095+00:00
Belay ተክሉ ኬክ ቤት | Belay Teklu Pastry,Pastry shop,Lideta 7/14,"Lideta 7/14, Ethiopia",4.2,72.0,+251 91 370 3853,,,,2026-05-10T06:38:04.662095+00:00
Eagle Bakery & Cake,Bakery,Addis Ababa,"2R62+V4F, Addis Ababa, Ethiopia",4.0,2.0,,,,,2026-05-10T06:38:04.662095+00:00
Blen Pizza and Burger,Bakery,Addis Ababa,"XRW7+RH8, Addis Ababa, Ethiopia",3.4,14.0,,,,,2026-05-10T06:38:04.662095+00:00
Semi Bakery,Bakery,Addis Ababa,"XQGC+4R7, Addis Ababa, Ethiopia",3.7,3.0,+251 91 160 5422,,,,2026-05-10T06:38:04.662095+00:00
Bilos Pastry | 4 kilo | ቢሎስ | 4 ኪሎ |,Cafe,Addis Ababa,"2QM6+J2J, Adwa St, Addis Ababa, Ethiopia",3.4,63.0,+251 93 003 3178,,,,2026-05-10T06:38:04.662095+00:00
Titem Pastry,Pastry shop,Addis Ababa,"Bisrat Gabriel, Addis Ababa, Ethiopia",4.9,13.0,+251 91 155 2079,,,,2026-05-10T06:38:04.662095+00:00
Bilos Pastry HQ | Lancha | ቤሎስ መጋገርያ | ላንቻ |,Cafe,Chirkos 05/06/07,"Chirkos 05/06/07, Ethiopia",3.3,42.0,+251 93 003 3178,http://www.bilospastry.com/,http://www.bilospastry.com/ | http://www.bilospastry.com/about | http://www.bilospastry.com/bilos/about | http://www.bilospastry.com/bilos/contact-us | http://www.bilospastry.com/bilos/locations | http://www.bilospastry.com/bilos/menu | http://www.bilospastry.com/careers | http://www.bilospastry.com/contact-us | http://www.bilospastry.com/events-and-announcements | http://www.bilospastry.com/gallery | http://www.bilospastry.com/locations | http://www.bilospastry.com/menu | http://www.instagram.com/bilos_pastry | https://bilospastry.com | https://bilospastry.com/ | https://bilospastry.com/about/ | https://bilospastry.com/careers/ | https://bilospastry.com/contact-us/ | https://bilospastry.com/events-and-announcements/ | https://bilospastry.com/gallery/ | https://bilospastry.com/locations/ | https://bilospastry.com/menu/ | https://www.facebook.com/p/Bilos-Pastry,,2026-05-10T06:38:04.662095+00:00
Bake Ma' Bakery Sholla Branch,Bakery,Addis Ababa,"Addis Ababa, Ethiopia",3.9,7.0,+251 91 140 3474,,,,2026-05-10T06:38:04.662095+00:00
Modern bakery and pastry | Meskel Flower | ሞደርን ዳቦና ኬክ ቤት | መስቀል ፍላወር,Bakery,Addis Ababa,"XQW8+CH3, Gabon St, Addis Ababa, Ethiopia",5.0,4.0,,,,,2026-05-10T06:38:04.662095+00:00
